Well,Polymerase,Templates,rare dNTP [µM]
A1,Neq2X7,A-C,10
A2,Neq2X7,A-C,1
A3,Neq2X7,A-C,0.1
A4,Neq2X7,A-C,0.01
A5,Neq2X7,A-C,0.001
A6,Neq2X7,A-C,0.0001
A7,Taq,A-C,10
A8,Taq,A-C,1
A9,Taq,A-C,0.1
A10,Taq,A-C,0.01
A11,Taq,A-C,0.001
A12,Taq,A-C,0.0001
B1,Neq2X7,A-C,10
B2,Neq2X7,A-C,1
B3,Neq2X7,A-C,0.1
B4,Neq2X7,A-C,0.01
B5,Neq2X7,A-C,0.001
B6,Neq2X7,A-C,0.0001
B7,Taq,A-C,10
B8,Taq,A-C,1
B9,Taq,A-C,0.1
B10,Taq,A-C,0.01
B11,Taq,A-C,0.001
B12,Taq,A-C,0.0001
C1,Neq2X,A-C,10
C2,Neq2X,A-C,1
C3,Neq2X,A-C,0.1
C4,Neq2X,A-C,0.01
C5,Neq2X,A-C,0.001
C6,Neq2X,A-C,0.0001
C7,Phusion,A-C,10
C8,Phusion,A-C,1
C9,Phusion,A-C,0.1
C10,Phusion,A-C,0.01
C11,Phusion,A-C,0.001
C12,Phusion,A-C,0.0001
D1,Neq2X,A-C,10
D2,Neq2X,A-C,1
D3,Neq2X,A-C,0.1
D4,Neq2X,A-C,0.01
D5,Neq2X,A-C,0.001
D6,Neq2X,A-C,0.0001
D7,Phusion,A-C,10
D8,Phusion,A-C,1
D9,Phusion,A-C,0.1
D10,Phusion,A-C,0.01
D11,Phusion,A-C,0.001
D12,Phusion,A-C,0.0001
E1,Taq,G-T,10
E2,Taq,G-T,1
E3,Taq,G-T,0.1
E4,Taq,G-T,0.01
E5,Taq,G-T,0.001
E6,Taq,G-T,0.0001
E7,Neq2X7,G-T,10
E8,Neq2X7,G-T,1
E9,Neq2X7,G-T,0.1
E10,Neq2X7,G-T,0.01
E11,Neq2X7,G-T,0.001
E12,Neq2X7,G-T,0.0001
F1,Taq,G-T,10
F2,Taq,G-T,1
F3,Taq,G-T,0.1
F4,Taq,G-T,0.01
F5,Taq,G-T,0.001
F6,Taq,G-T,0.0001
F7,Neq2X7,G-T,10
F8,Neq2X7,G-T,1
F9,Neq2X7,G-T,0.1
F10,Neq2X7,G-T,0.01
F11,Neq2X7,G-T,0.001
F12,Neq2X7,G-T,0.0001
G1,Phusion,G-T,10
G2,Phusion,G-T,1
G3,Phusion,G-T,0.1
G4,Phusion,G-T,0.01
G5,Phusion,G-T,0.001
G6,Phusion,G-T,0.0001
G7,Neq2X,G-T,10
G8,Neq2X,G-T,1
G9,Neq2X,G-T,0.1
G10,Neq2X,G-T,0.01
G11,Neq2X,G-T,0.001
G12,Neq2X,G-T,0.0001
H1,Phusion,G-T,10
H2,Phusion,G-T,1
H3,Phusion,G-T,0.1
H4,Phusion,G-T,0.01
H5,Phusion,G-T,0.001
H6,Phusion,G-T,0.0001
H7,Neq2X,G-T,10
H8,Neq2X,G-T,1
H9,Neq2X,G-T,0.1
H10,Neq2X,G-T,0.01
H11,Neq2X,G-T,0.001
H12,Neq2X,G-T,0.0001
